h;d;av;author;year;manuscript;experiment;d_type;jod_type;stim_type;att_type;vpnr;value;stim_id;Beding;unique_id;id
8;32;jof;Winkler;2009;2;3;total;total;image;high;5;6,00;16;NA;Winkler 2009 2 3 5;790
8;64;jof;Winkler;2009;2;3;total;total;image;high;5;5,00;17;NA;Winkler 2009 2 3 5;790
8;64;jof;Winkler;2009;2;3;total;total;image;high;5;8,00;18;NA;Winkler 2009 2 3 5;790
2;16;jod;Winkler;2009;2;3;total;total;image;high;5;19,00;1;NA;Winkler 2009 2 3 5;790
2;16;jod;Winkler;2009;2;3;total;total;image;high;5;19,00;2;NA;Winkler 2009 2 3 5;790
2;32;jod;Winkler;2009;2;3;total;total;image;high;5;17,00;3;NA;Winkler 2009 2 3 5;790
2;32;jod;Winkler;2009;2;3;total;total;image;high;5;24,00;4;NA;Winkler 2009 2 3 5;790
2;64;jod;Winkler;2009;2;3;total;total;image;high;5;28,00;5;NA;Winkler 2009 2 3 5;790
2;64;jod;Winkler;2009;2;3;total;total;image;high;5;19,00;6;NA;Winkler 2009 2 3 5;790
4;16;jod;Winkler;2009;2;3;total;total;image;high;5;18,00;7;NA;Winkler 2009 2 3 5;790
4;16;jod;Winkler;2009;2;3;total;total;image;high;5;16,00;8;NA;Winkler 2009 2 3 5;790
4;32;jod;Winkler;2009;2;3;total;total;image;high;5;28,00;9;NA;Winkler 2009 2 3 5;790
4;32;jod;Winkler;2009;2;3;total;total;image;high;5;24,00;10;NA;Winkler 2009 2 3 5;790
4;64;jod;Winkler;2009;2;3;total;total;image;high;5;32,00;11;NA;Winkler 2009 2 3 5;790
4;64;jod;Winkler;2009;2;3;total;total;image;high;5;25,00;12;NA;Winkler 2009 2 3 5;790
8;16;jod;Winkler;2009;2;3;total;total;image;high;5;25,00;13;NA;Winkler 2009 2 3 5;790
8;16;jod;Winkler;2009;2;3;total;total;image;high;5;17,00;14;NA;Winkler 2009 2 3 5;790
8;32;jod;Winkler;2009;2;3;total;total;image;high;5;27,00;15;NA;Winkler 2009 2 3 5;790
8;32;jod;Winkler;2009;2;3;total;total;image;high;5;21,00;16;NA;Winkler 2009 2 3 5;790
8;64;jod;Winkler;2009;2;3;total;total;image;high;5;22,00;17;NA;Winkler 2009 2 3 5;790
8;64;jod;Winkler;2009;2;3;total;total;image;high;5;20,00;18;NA;Winkler 2009 2 3 5;790
2;16;jof;Winkler;2009;2;3;total;total;word;high;6;4,00;1;NA;Winkler 2009 2 3 6;801
2;16;jof;Winkler;2009;2;3;total;total;word;high;6;7,00;2;NA;Winkler 2009 2 3 6;801
2;32;jof;Winkler;2009;2;3;total;total;word;high;6;5,00;3;NA;Winkler 2009 2 3 6;801
2;32;jof;Winkler;2009;2;3;total;total;word;high;6;3,00;4;NA;Winkler 2009 2 3 6;801
2;64;jof;Winkler;2009;2;3;total;total;word;high;6;6,00;5;NA;Winkler 2009 2 3 6;801
2;64;jof;Winkler;2009;2;3;total;total;word;high;6;3,00;6;NA;Winkler 2009 2 3 6;801
4;16;jof;Winkler;2009;2;3;total;total;word;high;6;6,00;7;NA;Winkler 2009 2 3 6;801
4;16;jof;Winkler;2009;2;3;total;total;word;high;6;3,00;8;NA;Winkler 2009 2 3 6;801
4;32;jof;Winkler;2009;2;3;total;total;word;high;6;3,00;9;NA;Winkler 2009 2 3 6;801
4;32;jof;Winkler;2009;2;3;total;total;word;high;6;4,00;10;NA;Winkler 2009 2 3 6;801
4;64;jof;Winkler;2009;2;3;total;total;word;high;6;8,00;11;NA;Winkler 2009 2 3 6;801
4;64;jof;Winkler;2009;2;3;total;total;word;high;6;4,00;12;NA;Winkler 2009 2 3 6;801
8;16;jof;Winkler;2009;2;3;total;total;word;high;6;7,00;13;NA;Winkler 2009 2 3 6;801
8;16;jof;Winkler;2009;2;3;total;total;word;high;6;7,00;14;NA;Winkler 2009 2 3 6;801
8;32;jof;Winkler;2009;2;3;total;total;word;high;6;7,00;15;NA;Winkler 2009 2 3 6;801
8;32;jof;Winkler;2009;2;3;total;total;word;high;6;7,00;16;NA;Winkler 2009 2 3 6;801
8;64;jof;Winkler;2009;2;3;total;total;word;high;6;7,00;17;NA;Winkler 2009 2 3 6;801
8;64;jof;Winkler;2009;2;3;total;total;word;high;6;4,00;18;NA;Winkler 2009 2 3 6;801
2;16;jod;Winkler;2009;2;3;total;total;word;high;6;20,00;1;NA;Winkler 2009 2 3 6;801
2;16;jod;Winkler;2009;2;3;total;total;word;high;6;18,00;2;NA;Winkler 2009 2 3 6;801
2;32;jod;Winkler;2009;2;3;total;total;word;high;6;22,00;3;NA;Winkler 2009 2 3 6;801
2;32;jod;Winkler;2009;2;3;total;total;word;high;6;18,00;4;NA;Winkler 2009 2 3 6;801
2;64;jod;Winkler;2009;2;3;total;total;word;high;6;20,00;5;NA;Winkler 2009 2 3 6;801
2;64;jod;Winkler;2009;2;3;total;total;word;high;6;16,00;6;NA;Winkler 2009 2 3 6;801
4;16;jod;Winkler;2009;2;3;total;total;word;high;6;24,00;7;NA;Winkler 2009 2 3 6;801
4;16;jod;Winkler;2009;2;3;total;total;word;high;6;16,00;8;NA;Winkler 2009 2 3 6;801
4;32;jod;Winkler;2009;2;3;total;total;word;high;6;20,00;9;NA;Winkler 2009 2 3 6;801
4;32;jod;Winkler;2009;2;3;total;total;word;high;6;16,00;10;NA;Winkler 2009 2 3 6;801
4;64;jod;Winkler;2009;2;3;total;total;word;high;6;22,00;11;NA;Winkler 2009 2 3 6;801
4;64;jod;Winkler;2009;2;3;total;total;word;high;6;24,00;12;NA;Winkler 2009 2 3 6;801
8;16;jod;Winkler;2009;2;3;total;total;word;high;6;30,00;13;NA;Winkler 2009 2 3 6;801
8;16;jod;Winkler;2009;2;3;total;total;word;high;6;25,00;14;NA;Winkler 2009 2 3 6;801
8;32;jod;Winkler;2009;2;3;total;total;word;high;6;30,00;15;NA;Winkler 2009 2 3 6;801
8;32;jod;Winkler;2009;2;3;total;total;word;high;6;30,00;16;NA;Winkler 2009 2 3 6;801
8;64;jod;Winkler;2009;2;3;total;total;word;high;6;22,00;17;NA;Winkler 2009 2 3 6;801
8;64;jod;Winkler;2009;2;3;total;total;word;high;6;28,00;18;NA;Winkler 2009 2 3 6;801
2;16;jof;Winkler;2009;2;3;total;total;image;low;7;2,00;1;NA;Winkler 2009 2 3 7;812
2;16;jof;Winkler;2009;2;3;total;total;image;low;7;2,00;2;NA;Winkler 2009 2 3 7;812
2;32;jof;Winkler;2009;2;3;total;total;image;low;7;2,00;3;NA;Winkler 2009 2 3 7;812
2;32;jof;Winkler;2009;2;3;total;total;image;low;7;3,00;4;NA;Winkler 2009 2 3 7;812
2;64;jof;Winkler;2009;2;3;total;total;image;low;7;3,00;5;NA;Winkler 2009 2 3 7;812
2;64;jof;Winkler;2009;2;3;total;total;image;low;7;2,00;6;NA;Winkler 2009 2 3 7;812
4;16;jof;Winkler;2009;2;3;total;total;image;low;7;5,00;7;NA;Winkler 2009 2 3 7;812
4;16;jof;Winkler;2009;2;3;total;total;image;low;7;2,00;8;NA;Winkler 2009 2 3 7;812
4;32;jof;Winkler;2009;2;3;total;total;image;low;7;4,00;9;NA;Winkler 2009 2 3 7;812
4;32;jof;Winkler;2009;2;3;total;total;image;low;7;3,00;10;NA;Winkler 2009 2 3 7;812
4;64;jof;Winkler;2009;2;3;total;total;image;low;7;3,00;11;NA;Winkler 2009 2 3 7;812
4;64;jof;Winkler;2009;2;3;total;total;image;low;7;4,00;12;NA;Winkler 2009 2 3 7;812
8;16;jof;Winkler;2009;2;3;total;total;image;low;7;6,00;13;NA;Winkler 2009 2 3 7;812
8;16;jof;Winkler;2009;2;3;total;total;image;low;7;6,00;14;NA;Winkler 2009 2 3 7;812
8;32;jof;Winkler;2009;2;3;total;total;image;low;7;5,00;15;NA;Winkler 2009 2 3 7;812
8;32;jof;Winkler;2009;2;3;total;total;image;low;7;5,00;16;NA;Winkler 2009 2 3 7;812
8;64;jof;Winkler;2009;2;3;total;total;image;low;7;6,00;17;NA;Winkler 2009 2 3 7;812
8;64;jof;Winkler;2009;2;3;total;total;image;low;7;6,00;18;NA;Winkler 2009 2 3 7;812
2;16;jod;Winkler;2009;2;3;total;total;image;low;7;21,00;1;NA;Winkler 2009 2 3 7;812
2;16;jod;Winkler;2009;2;3;total;total;image;low;7;16,00;2;NA;Winkler 2009 2 3 7;812
2;32;jod;Winkler;2009;2;3;total;total;image;low;7;25,00;3;NA;Winkler 2009 2 3 7;812
2;32;jod;Winkler;2009;2;3;total;total;image;low;7;18,00;4;NA;Winkler 2009 2 3 7;812
2;64;jod;Winkler;2009;2;3;total;total;image;low;7;20,00;5;NA;Winkler 2009 2 3 7;812
2;64;jod;Winkler;2009;2;3;total;total;image;low;7;16,00;6;NA;Winkler 2009 2 3 7;812
4;16;jod;Winkler;2009;2;3;total;total;image;low;7;20,00;7;NA;Winkler 2009 2 3 7;812
4;16;jod;Winkler;2009;2;3;total;total;image;low;7;16,00;8;NA;Winkler 2009 2 3 7;812
4;32;jod;Winkler;2009;2;3;total;total;image;low;7;20,00;9;NA;Winkler 2009 2 3 7;812
4;32;jod;Winkler;2009;2;3;total;total;image;low;7;17,00;10;NA;Winkler 2009 2 3 7;812
4;64;jod;Winkler;2009;2;3;total;total;image;low;7;18,00;11;NA;Winkler 2009 2 3 7;812
4;64;jod;Winkler;2009;2;3;total;total;image;low;7;32,00;12;NA;Winkler 2009 2 3 7;812
8;16;jod;Winkler;2009;2;3;total;total;image;low;7;27,00;13;NA;Winkler 2009 2 3 7;812
8;16;jod;Winkler;2009;2;3;total;total;image;low;7;20,00;14;NA;Winkler 2009 2 3 7;812
8;32;jod;Winkler;2009;2;3;total;total;image;low;7;26,00;15;NA;Winkler 2009 2 3 7;812
8;32;jod;Winkler;2009;2;3;total;total;image;low;7;28,00;16;NA;Winkler 2009 2 3 7;812
8;64;jod;Winkler;2009;2;3;total;total;image;low;7;30,00;17;NA;Winkler 2009 2 3 7;812
8;64;jod;Winkler;2009;2;3;total;total;image;low;7;32,00;18;NA;Winkler 2009 2 3 7;812
2;16;jof;Winkler;2009;2;3;total;total;word;high;8;4,00;1;NA;Winkler 2009 2 3 8;819
2;16;jof;Winkler;2009;2;3;total;total;word;high;8;2,00;2;NA;Winkler 2009 2 3 8;819
2;32;jof;Winkler;2009;2;3;total;total;word;high;8;7,00;3;NA;Winkler 2009 2 3 8;819
2;32;jof;Winkler;2009;2;3;total;total;word;high;8;5,00;4;NA;Winkler 2009 2 3 8;819
2;64;jof;Winkler;2009;2;3;total;total;word;high;8;6,00;5;NA;Winkler 2009 2 3 8;819
2;64;jof;Winkler;2009;2;3;total;total;word;high;8;3,00;6;NA;Winkler 2009 2 3 8;819
4;16;jof;Winkler;2009;2;3;total;total;word;high;8;4,00;7;NA;Winkler 2009 2 3 8;819
4;16;jof;Winkler;2009;2;3;total;total;word;high;8;5,00;8;NA;Winkler 2009 2 3 8;819
4;32;jof;Winkler;2009;2;3;total;total;word;high;8;6,00;9;NA;Winkler 2009 2 3 8;819
4;32;jof;Winkler;2009;2;3;total;total;word;high;8;6,00;10;NA;Winkler 2009 2 3 8;819
4;64;jof;Winkler;2009;2;3;total;total;word;high;8;6,00;11;NA;Winkler 2009 2 3 8;819
4;64;jof;Winkler;2009;2;3;total;total;word;high;8;4,00;12;NA;Winkler 2009 2 3 8;819
8;16;jof;Winkler;2009;2;3;total;total;word;high;8;6,00;13;NA;Winkler 2009 2 3 8;819
8;16;jof;Winkler;2009;2;3;total;total;word;high;8;6,00;14;NA;Winkler 2009 2 3 8;819
8;32;jof;Winkler;2009;2;3;total;total;word;high;8;4,00;15;NA;Winkler 2009 2 3 8;819
8;32;jof;Winkler;2009;2;3;total;total;word;high;8;5,00;16;NA;Winkler 2009 2 3 8;819
8;64;jof;Winkler;2009;2;3;total;total;word;high;8;8,00;17;NA;Winkler 2009 2 3 8;819
8;64;jof;Winkler;2009;2;3;total;total;word;high;8;4,00;18;NA;Winkler 2009 2 3 8;819
2;16;jod;Winkler;2009;2;3;total;total;word;high;8;23,00;1;NA;Winkler 2009 2 3 8;819
2;16;jod;Winkler;2009;2;3;total;total;word;high;8;16,00;2;NA;Winkler 2009 2 3 8;819
2;32;jod;Winkler;2009;2;3;total;total;word;high;8;24,00;3;NA;Winkler 2009 2 3 8;819
2;32;jod;Winkler;2009;2;3;total;total;word;high;8;28,00;4;NA;Winkler 2009 2 3 8;819
2;64;jod;Winkler;2009;2;3;total;total;word;high;8;28,00;5;NA;Winkler 2009 2 3 8;819
2;64;jod;Winkler;2009;2;3;total;total;word;high;8;20,00;6;NA;Winkler 2009 2 3 8;819
4;16;jod;Winkler;2009;2;3;total;total;word;high;8;26,00;7;NA;Winkler 2009 2 3 8;819
4;16;jod;Winkler;2009;2;3;total;total;word;high;8;20,00;8;NA;Winkler 2009 2 3 8;819
4;32;jod;Winkler;2009;2;3;total;total;word;high;8;26,00;9;NA;Winkler 2009 2 3 8;819
4;32;jod;Winkler;2009;2;3;total;total;word;high;8;28,00;10;NA;Winkler 2009 2 3 8;819
4;64;jod;Winkler;2009;2;3;total;total;word;high;8;23,00;11;NA;Winkler 2009 2 3 8;819
4;64;jod;Winkler;2009;2;3;total;total;word;high;8;18,00;12;NA;Winkler 2009 2 3 8;819
8;16;jod;Winkler;2009;2;3;total;total;word;high;8;32,00;13;NA;Winkler 2009 2 3 8;819
8;16;jod;Winkler;2009;2;3;total;total;word;high;8;25,00;14;NA;Winkler 2009 2 3 8;819
8;32;jod;Winkler;2009;2;3;total;total;word;high;8;16,00;15;NA;Winkler 2009 2 3 8;819
8;32;jod;Winkler;2009;2;3;total;total;word;high;8;26,00;16;NA;Winkler 2009 2 3 8;819
8;64;jod;Winkler;2009;2;3;total;total;word;high;8;30,00;17;NA;Winkler 2009 2 3 8;819
8;64;jod;Winkler;2009;2;3;total;total;word;high;8;29,00;18;NA;Winkler 2009 2 3 8;819
2;16;jof;Winkler;2009;2;3;total;total;image;high;9;2,00;1;NA;Winkler 2009 2 3 9;820
2;16;jof;Winkler;2009;2;3;total;total;image;high;9;2,00;2;NA;Winkler 2009 2 3 9;820
2;32;jof;Winkler;2009;2;3;total;total;image;high;9;3,00;3;NA;Winkler 2009 2 3 9;820
2;32;jof;Winkler;2009;2;3;total;total;image;high;9;4,00;4;NA;Winkler 2009 2 3 9;820
2;64;jof;Winkler;2009;2;3;total;total;image;high;9;4,00;5;NA;Winkler 2009 2 3 9;820
2;64;jof;Winkler;2009;2;3;total;total;image;high;9;3,00;6;NA;Winkler 2009 2 3 9;820
4;16;jof;Winkler;2009;2;3;total;total;image;high;9;2,00;7;NA;Winkler 2009 2 3 9;820
4;16;jof;Winkler;2009;2;3;total;total;image;high;9;3,00;8;NA;Winkler 2009 2 3 9;820
4;32;jof;Winkler;2009;2;3;total;total;image;high;9;4,00;9;NA;Winkler 2009 2 3 9;820
4;32;jof;Winkler;2009;2;3;total;total;image;high;9;4,00;10;NA;Winkler 2009 2 3 9;820
4;64;jof;Winkler;2009;2;3;total;total;image;high;9;3,00;11;NA;Winkler 2009 2 3 9;820
4;64;jof;Winkler;2009;2;3;total;total;image;high;9;3,00;12;NA;Winkler 2009 2 3 9;820
8;16;jof;Winkler;2009;2;3;total;total;image;high;9;7,00;13;NA;Winkler 2009 2 3 9;820
8;16;jof;Winkler;2009;2;3;total;total;image;high;9;7,00;14;NA;Winkler 2009 2 3 9;820
8;32;jof;Winkler;2009;2;3;total;total;image;high;9;5,00;15;NA;Winkler 2009 2 3 9;820
8;32;jof;Winkler;2009;2;3;total;total;image;high;9;6,00;16;NA;Winkler 2009 2 3 9;820
8;64;jof;Winkler;2009;2;3;total;total;image;high;9;8,00;17;NA;Winkler 2009 2 3 9;820
8;64;jof;Winkler;2009;2;3;total;total;image;high;9;5,00;18;NA;Winkler 2009 2 3 9;820
2;16;jod;Winkler;2009;2;3;total;total;image;high;9;16,00;1;NA;Winkler 2009 2 3 9;820
2;16;jod;Winkler;2009;2;3;total;total;image;high;9;16,00;2;NA;Winkler 2009 2 3 9;820
2;32;jod;Winkler;2009;2;3;total;total;image;high;9;20,00;3;NA;Winkler 2009 2 3 9;820
2;32;jod;Winkler;2009;2;3;total;total;image;high;9;20,00;4;NA;Winkler 2009 2 3 9;820
2;64;jod;Winkler;2009;2;3;total;total;image;high;9;32,00;5;NA;Winkler 2009 2 3 9;820
2;64;jod;Winkler;2009;2;3;total;total;image;high;9;20,00;6;NA;Winkler 2009 2 3 9;820
4;16;jod;Winkler;2009;2;3;total;total;image;high;9;16,00;7;NA;Winkler 2009 2 3 9;820
4;16;jod;Winkler;2009;2;3;total;total;image;high;9;20,00;8;NA;Winkler 2009 2 3 9;820
4;32;jod;Winkler;2009;2;3;total;total;image;high;9;24,00;9;NA;Winkler 2009 2 3 9;820
4;32;jod;Winkler;2009;2;3;total;total;image;high;9;26,00;10;NA;Winkler 2009 2 3 9;820
4;64;jod;Winkler;2009;2;3;total;total;image;high;9;32,00;11;NA;Winkler 2009 2 3 9;820
4;64;jod;Winkler;2009;2;3;total;total;image;high;9;20,00;12;NA;Winkler 2009 2 3 9;820
8;16;jod;Winkler;2009;2;3;total;total;image;high;9;26,00;13;NA;Winkler 2009 2 3 9;820
8;16;jod;Winkler;2009;2;3;total;total;image;high;9;26,00;14;NA;Winkler 2009 2 3 9;820
8;32;jod;Winkler;2009;2;3;total;total;image;high;9;24,00;15;NA;Winkler 2009 2 3 9;820
8;32;jod;Winkler;2009;2;3;total;total;image;high;9;22,00;16;NA;Winkler 2009 2 3 9;820
8;64;jod;Winkler;2009;2;3;total;total;image;high;9;32,00;17;NA;Winkler 2009 2 3 9;820
8;64;jod;Winkler;2009;2;3;total;total;image;high;9;25,00;18;NA;Winkler 2009 2 3 9;820
2;16;jof;Winkler;2009;2;3;total;total;word;low;10;2,00;1;NA;Winkler 2009 2 3 10;747
2;16;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;2;NA;Winkler 2009 2 3 10;747
2;32;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;3;NA;Winkler 2009 2 3 10;747
2;32;jof;Winkler;2009;2;3;total;total;word;low;10;2,00;4;NA;Winkler 2009 2 3 10;747
2;64;jof;Winkler;2009;2;3;total;total;word;low;10;2,00;5;NA;Winkler 2009 2 3 10;747
2;64;jof;Winkler;2009;2;3;total;total;word;low;10;4,00;6;NA;Winkler 2009 2 3 10;747
4;16;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;7;NA;Winkler 2009 2 3 10;747
4;16;jof;Winkler;2009;2;3;total;total;word;low;10;6,00;8;NA;Winkler 2009 2 3 10;747
4;32;jof;Winkler;2009;2;3;total;total;word;low;10;4,00;9;NA;Winkler 2009 2 3 10;747
4;32;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;10;NA;Winkler 2009 2 3 10;747
4;64;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;11;NA;Winkler 2009 2 3 10;747
4;64;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;12;NA;Winkler 2009 2 3 10;747
8;16;jof;Winkler;2009;2;3;total;total;word;low;10;3,00;13;NA;Winkler 2009 2 3 10;747
8;16;jof;Winkler;2009;2;3;total;total;word;low;10;4,00;14;NA;Winkler 2009 2 3 10;747
8;32;jof;Winkler;2009;2;3;total;total;word;low;10;5,00;15;NA;Winkler 2009 2 3 10;747
8;32;jof;Winkler;2009;2;3;total;total;word;low;10;4,00;16;NA;Winkler 2009 2 3 10;747
8;64;jof;Winkler;2009;2;3;total;total;word;low;10;5,00;17;NA;Winkler 2009 2 3 10;747
8;64;jof;Winkler;2009;2;3;total;total;word;low;10;4,00;18;NA;Winkler 2009 2 3 10;747
2;16;jod;Winkler;2009;2;3;total;total;word;low;10;16,00;1;NA;Winkler 2009 2 3 10;747
2;16;jod;Winkler;2009;2;3;total;total;word;low;10;20,00;2;NA;Winkler 2009 2 3 10;747
2;32;jod;Winkler;2009;2;3;total;total;word;low;10;18,00;3;NA;Winkler 2009 2 3 10;747
2;32;jod;Winkler;2009;2;3;total;total;word;low;10;16,00;4;NA;Winkler 2009 2 3 10;747
2;64;jod;Winkler;2009;2;3;total;total;word;low;10;16,00;5;NA;Winkler 2009 2 3 10;747
2;64;jod;Winkler;2009;2;3;total;total;word;low;10;18,00;6;NA;Winkler 2009 2 3 10;747
4;16;jod;Winkler;2009;2;3;total;total;word;low;10;30,00;7;NA;Winkler 2009 2 3 10;747
4;16;jod;Winkler;2009;2;3;total;total;word;low;10;25,00;8;NA;Winkler 2009 2 3 10;747
4;32;jod;Winkler;2009;2;3;total;total;word;low;10;19,00;9;NA;Winkler 2009 2 3 10;747
4;32;jod;Winkler;2009;2;3;total;total;word;low;10;16,00;10;NA;Winkler 2009 2 3 10;747
4;64;jod;Winkler;2009;2;3;total;total;word;low;10;22,00;11;NA;Winkler 2009 2 3 10;747
4;64;jod;Winkler;2009;2;3;total;total;word;low;10;18,00;12;NA;Winkler 2009 2 3 10;747
8;16;jod;Winkler;2009;2;3;total;total;word;low;10;20,00;13;NA;Winkler 2009 2 3 10;747
8;16;jod;Winkler;2009;2;3;total;total;word;low;10;25,00;14;NA;Winkler 2009 2 3 10;747
8;32;jod;Winkler;2009;2;3;total;total;word;low;10;22,00;15;NA;Winkler 2009 2 3 10;747
8;32;jod;Winkler;2009;2;3;total;total;word;low;10;16,00;16;NA;Winkler 2009 2 3 10;747
8;64;jod;Winkler;2009;2;3;total;total;word;low;10;22,00;17;NA;Winkler 2009 2 3 10;747
8;64;jod;Winkler;2009;2;3;total;total;word;low;10;17,00;18;NA;Winkler 2009 2 3 10;747
2;16;jof;Winkler;2009;2;3;total;total;image;low;11;2,00;1;NA;Winkler 2009 2 3 11;748
2;16;jof;Winkler;2009;2;3;total;total;image;low;11;3,00;2;NA;Winkler 2009 2 3 11;748
2;32;jof;Winkler;2009;2;3;total;total;image;low;11;4,00;3;NA;Winkler 2009 2 3 11;748
2;32;jof;Winkler;2009;2;3;total;total;image;low;11;3,00;4;NA;Winkler 2009 2 3 11;748
2;64;jof;Winkler;2009;2;3;total;total;image;low;11;3,00;5;NA;Winkler 2009 2 3 11;748
2;64;jof;Winkler;2009;2;3;total;total;image;low;11;3,00;6;NA;Winkler 2009 2 3 11;748
4;16;jof;Winkler;2009;2;3;total;total;image;low;11;6,00;7;NA;Winkler 2009 2 3 11;748
4;16;jof;Winkler;2009;2;3;total;total;image;low;11;2,00;8;NA;Winkler 2009 2 3 11;748
4;32;jof;Winkler;2009;2;3;total;total;image;low;11;6,00;9;NA;Winkler 2009 2 3 11;748
4;32;jof;Winkler;2009;2;3;total;total;image;low;11;3,00;10;NA;Winkler 2009 2 3 11;748
4;64;jof;Winkler;2009;2;3;total;total;image;low;11;6,00;11;NA;Winkler 2009 2 3 11;748
4;64;jof;Winkler;2009;2;3;total;total;image;low;11;6,00;12;NA;Winkler 2009 2 3 11;748
8;16;jof;Winkler;2009;2;3;total;total;image;low;11;5,00;13;NA;Winkler 2009 2 3 11;748
8;16;jof;Winkler;2009;2;3;total;total;image;low;11;6,00;14;NA;Winkler 2009 2 3 11;748
8;32;jof;Winkler;2009;2;3;total;total;image;low;11;6,00;15;NA;Winkler 2009 2 3 11;748
8;32;jof;Winkler;2009;2;3;total;total;image;low;11;5,00;16;NA;Winkler 2009 2 3 11;748
8;64;jof;Winkler;2009;2;3;total;total;image;low;11;8,00;17;NA;Winkler 2009 2 3 11;748
8;64;jof;Winkler;2009;2;3;total;total;image;low;11;5,00;18;NA;Winkler 2009 2 3 11;748
2;16;jod;Winkler;2009;2;3;total;total;image;low;11;16,00;1;NA;Winkler 2009 2 3 11;748
2;16;jod;Winkler;2009;2;3;total;total;image;low;11;23,00;2;NA;Winkler 2009 2 3 11;748
2;32;jod;Winkler;2009;2;3;total;total;image;low;11;28,00;3;NA;Winkler 2009 2 3 11;748
2;32;jod;Winkler;2009;2;3;total;total;image;low;11;20,00;4;NA;Winkler 2009 2 3 11;748
2;64;jod;Winkler;2009;2;3;total;total;image;low;11;23,00;5;NA;Winkler 2009 2 3 11;748
2;64;jod;Winkler;2009;2;3;total;total;image;low;11;32,00;6;NA;Winkler 2009 2 3 11;748
4;16;jod;Winkler;2009;2;3;total;total;image;low;11;25,00;7;NA;Winkler 2009 2 3 11;748
4;16;jod;Winkler;2009;2;3;total;total;image;low;11;19,00;8;NA;Winkler 2009 2 3 11;748
4;32;jod;Winkler;2009;2;3;total;total;image;low;11;25,00;9;NA;Winkler 2009 2 3 11;748
4;32;jod;Winkler;2009;2;3;total;total;image;low;11;24,00;10;NA;Winkler 2009 2 3 11;748
4;64;jod;Winkler;2009;2;3;total;total;image;low;11;30,00;11;NA;Winkler 2009 2 3 11;748
4;64;jod;Winkler;2009;2;3;total;total;image;low;11;30,00;12;NA;Winkler 2009 2 3 11;748
8;16;jod;Winkler;2009;2;3;total;total;image;low;11;27,00;13;NA;Winkler 2009 2 3 11;748
8;16;jod;Winkler;2009;2;3;total;total;image;low;11;22,00;14;NA;Winkler 2009 2 3 11;748
8;32;jod;Winkler;2009;2;3;total;total;image;low;11;28,00;15;NA;Winkler 2009 2 3 11;748
8;32;jod;Winkler;2009;2;3;total;total;image;low;11;26,00;16;NA;Winkler 2009 2 3 11;748
8;64;jod;Winkler;2009;2;3;total;total;image;low;11;30,00;17;NA;Winkler 2009 2 3 11;748
8;64;jod;Winkler;2009;2;3;total;total;image;low;11;17,00;18;NA;Winkler 2009 2 3 11;748
2;16;jof;Winkler;2009;2;3;total;total;image;high;12;3,00;1;NA;Winkler 2009 2 3 12;749
2;16;jof;Winkler;2009;2;3;total;total;image;high;12;3,00;2;NA;Winkler 2009 2 3 12;749
2;32;jof;Winkler;2009;2;3;total;total;image;high;12;2,00;3;NA;Winkler 2009 2 3 12;749
2;32;jof;Winkler;2009;2;3;total;total;image;high;12;4,00;4;NA;Winkler 2009 2 3 12;749
2;64;jof;Winkler;2009;2;3;total;total;image;high;12;5,00;5;NA;Winkler 2009 2 3 12;749
2;64;jof;Winkler;2009;2;3;total;total;image;high;12;2,00;6;NA;Winkler 2009 2 3 12;749
4;16;jof;Winkler;2009;2;3;total;total;image;high;12;7,00;7;NA;Winkler 2009 2 3 12;749
4;16;jof;Winkler;2009;2;3;total;total;image;high;12;4,00;8;NA;Winkler 2009 2 3 12;749
4;32;jof;Winkler;2009;2;3;total;total;image;high;12;8,00;9;NA;Winkler 2009 2 3 12;749
4;32;jof;Winkler;2009;2;3;total;total;image;high;12;6,00;10;NA;Winkler 2009 2 3 12;749
4;64;jof;Winkler;2009;2;3;total;total;image;high;12;4,00;11;NA;Winkler 2009 2 3 12;749
4;64;jof;Winkler;2009;2;3;total;total;image;high;12;6,00;12;NA;Winkler 2009 2 3 12;749
8;16;jof;Winkler;2009;2;3;total;total;image;high;12;5,00;13;NA;Winkler 2009 2 3 12;749
8;16;jof;Winkler;2009;2;3;total;total;image;high;12;8,00;14;NA;Winkler 2009 2 3 12;749
8;32;jof;Winkler;2009;2;3;total;total;image;high;12;7,00;15;NA;Winkler 2009 2 3 12;749
8;32;jof;Winkler;2009;2;3;total;total;image;high;12;7,00;16;NA;Winkler 2009 2 3 12;749
8;64;jof;Winkler;2009;2;3;total;total;image;high;12;8,00;17;NA;Winkler 2009 2 3 12;749
8;64;jof;Winkler;2009;2;3;total;total;image;high;12;8,00;18;NA;Winkler 2009 2 3 12;749
2;16;jod;Winkler;2009;2;3;total;total;image;high;12;17,00;1;NA;Winkler 2009 2 3 12;749
2;16;jod;Winkler;2009;2;3;total;total;image;high;12;16,00;2;NA;Winkler 2009 2 3 12;749
2;32;jod;Winkler;2009;2;3;total;total;image;high;12;23,00;3;NA;Winkler 2009 2 3 12;749
